City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
379,Nizhneangarsk,RU,55.7833,109.55,21.56,83,67,2.06,broken clouds
380,Kaiyuan,CN,23.6977,103.3037,59.54,87,100,2.24,overcast clouds
381,Zhigansk,RU,66.7697,123.3711,-5.3,91,100,7.63,overcast clouds
382,Jibuti,DJ,11.5,42.5,77.0,83,1,6.42,haze
383,Bandarbeyla,SO,9.4942,50.8122,76.37,83,100,2.33,overcast clouds
384,Karak,JO,31.1667,35.75,44.6,53,0,8.21,clear sky
385,Pontal Do Parana,BR,-25.6533,-48.5128,60.01,99,43,1.63,scattered clouds
386,Creel,MX,27.75,-107.6333,55.72,31,79,4.85,broken clouds
387,Salinopolis,BR,-0.6136,-47.3561,77.74,88,83,9.08,broken clouds
388,Bam,IR,29.106,58.357,59.72,17,66,6.31,broken clouds
389,Palmer,US,42.1584,-72.3287,50.0,34,20,10.36,few clouds
390,Salinas,US,36.6777,-121.6555,55.4,67,1,13.8,clear sky
391,Bergen,NO,60.392,5.328,28.4,93,75,6.91,snow
392,Lima,PE,-12.0432,-77.0282,75.2,69,0,5.75,clear sky
393,San Jose,US,37.3394,-121.895,57.99,67,75,12.66,broken clouds
394,Hofn,IS,64.2539,-15.2082,18.41,58,1,23.11,clear sky
395,Berlevag,NO,70.8578,29.0864,34.54,84,100,9.98,overcast clouds
396,Rocha,UY,-34.4833,-54.3333,63.03,97,6,6.42,clear sky
397,Sitka,US,57.0531,-135.33,39.2,93,90,11.5,light rain
398,Ivanovka,KG,42.8878,75.085,44.6,93,75,4.47,broken clouds
399,Chiredzi,ZW,-21.05,31.6667,64.26,90,0,2.73,clear sky
400,Booue,GA,-0.0921,11.9385,74.32,94,98,1.66,overcast clouds
401,Jabinyanah,TN,35.035,10.9081,60.8,82,40,8.05,scattered clouds
402,Kontagora,NG,10.3999,5.4695,78.53,14,19,4.52,few clouds
403,Erding,DE,48.306,11.9069,35.01,80,0,3.44,clear sky
404,Dudinka,RU,69.4058,86.1778,17.06,95,100,12.12,light snow
405,Imbituba,BR,-28.24,-48.6703,68.0,88,20,2.3,few clouds
406,Sur,OM,22.5667,59.5289,83.01,39,5,4.92,clear sky
407,Bambanglipuro,ID,-7.95,110.2833,78.53,84,100,3.0,overcast clouds
408,San Antonio,US,29.4241,-98.4936,72.0,56,90,4.61,overcast clouds
409,Iringa,TZ,-7.7667,35.7,58.39,94,98,3.91,overcast clouds
410,Kanzaki,JP,33.3,130.3667,61.0,54,75,19.57,broken clouds
411,Ust-Omchug,RU,61.15,149.6333,10.78,64,100,6.08,overcast clouds
412,Ustyuzhna,RU,58.8394,36.4321,30.02,92,89,10.2,overcast clouds
413,Nyurba,RU,63.2842,118.3319,-0.65,86,94,7.11,overcast clouds
414,Tuatapere,NZ,-46.1333,167.6833,57.0,58,93,25.99,overcast clouds
415,Manavgat,TR,36.7867,31.4431,60.01,88,75,5.75,broken clouds
416,Bay Saint Louis,US,30.3088,-89.33,59.0,77,1,4.61,clear sky
417,Mushie,CD,-3.0167,16.9,73.38,97,100,2.51,overcast clouds
418,Manbij,SY,36.5281,37.9549,48.2,71,0,7.81,clear sky
419,Luwuk,ID,-0.9516,122.7875,89.11,61,99,0.87,overcast clouds
420,Mapiripan,CO,2.8892,-72.1256,73.78,97,100,5.14,moderate rain
421,Faya,SA,18.3851,42.4509,59.0,51,0,4.61,clear sky
